company_name,esg,esg_e,esg_s,esg_g,per,pbr,dividend_yield,company_code,male_contract_employee_count,female_contract_employee_count,total_salary_male,total_salary_female,male_regular_employee_count,female_regular_employee_count,total_male_employees,total_female_employees,average_male_salary,average_female_salary,operating_profit_before_tax,net_profit_margin,comprehensive_income_margin,gross_profit_margin,cost_of_goods_sold,roe,sg_andaexpense_ratio,operating_income_on_total_assets,pre_tax_income_on_total_assets,operating_income_on_equity,pre_tax_income_on_equity,operating_income_on_paid_in_capital,pre_tax_income_on_paid_in_capital,roi,operating_expense_ratio,equity_ratio,debt_ratio,liquidity_ratio,quick_ratio,current_liabilities_ratio,non_current_liabilities_ratio,interest_coverage_ratio,net_interest_coverage_ratio,non_current_asset_ratio,financial_cost_burden_ratio,capital_retention_ratio,retention_amount_to_equity_ratio,financial_leverage,non_current_asset_suitability_ratio,non_current_asset_composition_ratio,tangible_asset_composition_ratio,current_asset_composition_ratio,inventory_composition_ratio,current_to_non_current_asset_ratio,inventory_to_current_asset_ratio,receivables_to_payables_ratio,payables_to_inventory_ratio,sales_growth_rate_yoy,gross_profit_growth_rate_yoy,operating_profit_growth_rate_yoy,pre_tax_profit_growth_rate_yoy,net_profit_growth_rate_yoy,comprehensive_income_growth_rate_yoy,total_asset_growth_rate_yoy,non_current_asset_growth_rate_yoy,tangible_asset_growth_rate_yoy,total_liabilities_growth_rate_yoy,total_borrowings_growth_rate_yoy,equity_growth_rate_yoy,current_asset_growth_rate_yoy,receivables_growth_rate_yoy,inventory_growth_rate_yoy,current_liabilities_growth_rate_yoy,payables_growth_rate_yoy,non_current_liabilities_growth_rate_yoy,total_asset_turnover,receivables_turnover,inventory_turnover,cost_of_goods_sold_to_inventory,payables_turnover,non_current_asset_turnover,tangible_asset_turnover,debt_to_equity_turnover,equity_turnover,capital_turnover,dividend_payout_ratio,female_executives,male_executives,status,message,corp_name_eng,stock_name,stock_code,ceo_name,corp_cls,jurir_no,bizr_no,address,home_url,ir_url,phone_number,fax_number,industry_code,establishment_date,accounting_month
95570,B+,C,A,B+,11.58,0.46,6.25,365387,10,3,27878774000,9159931000,385,193,395,196,70579175,46734342,,1.644,,,92.177,4.206,,5.048,,20.013,,167.411,,35.181,,25.87,286.548,44.909,,160.911,125.637,,,314.285,7.864,740.095,,386.548,139.288,81.305,17.272,18.695,,22.993,,,,-16.058,,2.574,,90.054,,9.356,14.303,68.795,7.397,,15.387,0.571,,,-17.08,,87.142,64.529,,,,,81.041,449.14,86.296,255.82,2139.955,73.379,0,19,0,정상,"AJ Networks Co.,Ltd.",AJ네트웍스,95570,손삼달,Y,1.10E+12,2148648586,"서울특별시 송파구 정의로8길 9 (문정동,AJ빌딩)",www.ajnet.co.kr,,02-6363-9999,02-6240-0888,76320,20000210,12
6840,A,A,A+,B+,9.07,0.29,1.5,125080,1,0,2020000000,210000000,19,3,20,3,101000000,70000000,,2.911,2.176,24.525,75.475,10.197,18.294,5.42,,21.827,,421.397,,196.86,18.294,24.351,310.659,55.281,31.89,214.413,96.245,,,292.128,2.997,772.269,,410.659,148.859,71.136,37.684,28.864,6.286,40.575,21.777,,,18.26,54.591,-1379.066,,-204.435,-199.306,6.612,10.989,10.094,8.026,,2.445,-2.832,,-6.605,17.256,,-8.091,86.981,815.748,1295.114,977.483,,124.652,234.404,115.713,350.298,6762.996,,1,8,0,정상,"AK Holdings, Inc.",AK홀딩스,6840,"채형석, 백차현(각자 대표이사)",Y,1.10E+12,1138110894,서울특별시 마포구 양화로 188 -,www.aekyunggroup.co.kr,,02-768-2923,02-768-2904,64992,19701013,12
27410,A,A,A+,B+,4.58,0.21,3.34,219097,3,0,3960000000,648000000,41,12,44,12,90000000,54000000,15.6,15.6,15.529,32.287,67.713,3.802,16.368,3.434,3.365,3.879,3.802,73.703,72.23,72.23,16.368,87.536,14.239,331.572,,6.834,7.404,,,91.579,1.736,,,114.239,85.265,80.164,12.655,19.836,2.769,24.744,13.958,,,1.88,8.746,15.264,64.201,164.113,140.132,12.036,14.873,109.056,34.311,,9.451,1.868,,0.61,81.672,,8.261,21.569,,739.475,500.722,,27.224,218.196,187.74,24.369,463.005,17.213,0,5,0,정상,"BGF CO., LTD.",BGF,27410,홍정국,Y,1.10E+12,1208144752,서울특별시 강남구 테헤란로 405,www.bgf.co.kr,,1577-3663,02-7081398,64992,19941201,12
282330,A,A,A+,A,10.14,1.89,3.65,1263022,438,262,160370000000,52624000000,1853,750,2291,1012,70000000,52000000,,2.39,2.229,18.582,81.418,19.228,15.492,8.213,,24.858,,1464.876,,1133.106,15.492,33.378,199.602,82.178,,110.875,88.727,,,208.487,0.585,,,299.602,110.47,69.588,24.12,30.412,5.497,43.703,18.077,,,7.602,9.851,0.309,,1.192,-10.946,9.261,8.936,12.451,8.117,,11.617,10.01,,41.754,8.079,,8.165,265.834,,5430.414,4421.327,,381.468,1117.292,397.01,804.559,,36.165,1,6,0,정상,"BGF retail CO., LTD.",BGF리테일,282330,민승배,Y,1.10E+12,8938800792,서울특별시 강남구 테헤란로 405 BGF사옥,www.bgfretail.com,,02-1577-8007,02-528-6820,47122,20171101,12
138930,A,A,A+,A,4.9,0.3,5.32,858364,8,10,18232000000,1485000000,98,5,106,15,172000000,99000000,,,,,,6.326,,0.567,,7.465,,49.162,,41.659,,7.322,1265.821,,,,,,,,,,,1365.821,,,0.886,,,,,,,,,-30.703,,-18.514,0.647,6.464,,6.645,7.109,14.253,-1.077,,,,,,,,,,,,,,,,,-34.611,2,14,0,정상,BNK Financial Group Inc.,BNK금융지주,138930,빈대인,Y,1.80E+12,6058605385,부산광역시 남구 문현금융로 30(문현동),www.bnkfg.com,,051-620-3023,051-620-3040,64992,20110315,12
801190,,,,B+,,,,844936,39,2,35970000000,7808000000,291,120,330,122,109000000,64000000,,,,,,8.917,,1.757,,12.315,,49.544,,35.873,,14.59,585.394,,,,,,,,,,,685.394,,,0.254,,,,,,,,,-32.977,,-34.617,-34.73,4.272,,30.392,3.48,1.52,9.164,,,,,,,,,,,,,,,,,,0,19,0,정상,BNKCAPITAL,BNK캐피탈,,김성주,E,1.80E+12,6058601190,부산광역시 부산진구 새싹로 1 부산은행 부전동지점 9층 BNK캐피탈,www.bnkcapital.co.kr,,051-665-1000,051-819-3900,64911,20100715,12
1460,D,D,D,D,12.09,0.5,0.93,122579,23,3,12658874000,9268702000,230,301,253,304,50035075,30489151,,14.054,12.884,43.119,56.881,4.505,26.79,4.06,,5.235,,654.724,,563.49,26.79,78.015,28.18,222.972,,9.557,18.623,,,106.871,1.784,,77.352,128.18,90.093,83.376,15.346,16.624,5.775,19.939,34.736,,,-0.754,1.226,8.576,,-32.93,-38.337,2.51,4.189,35.37,-1.562,,3.72,-5.154,,3.058,-35.433,,34.699,24.865,,431.715,245.565,,30.062,184.1,110.835,32.056,4009.56,10.624,1,10,0,정상,"BYC CO.,LTD",BYC,1460,김 대 환,Y,1.10E+12,1188103063,서울특별시 영등포구 디지털로38길 27 (주)비와이씨,home.byc.co.kr,,02-840-3172,02-840-3177,14120,19550513,12
1040,A,A,A+,B+,16.53,0.71,2.54,148540,0,2,34500000000,3094000000,50,15,50,17,690000000,182000000,,1.269,1.472,27.561,72.439,2.945,,4.273,,11.447,,1138.837,,293.033,,37.905,163.814,90.025,,84.854,76.42,,,182.306,3.61,,,263.814,103.336,69.104,30.307,28.956,6.715,41.902,23.192,,,1.045,1.502,-5.345,,-23.612,-16.962,-2.149,-1.352,0.202,-3.92,,0.898,-9.744,,-14.5,-10.428,,0.865,86.653,,1202.575,871.128,,125.909,289.345,138.262,232.146,,59.666,1,6,0,정상,CJ Corp.,CJ,1040,"손경식, 김홍기",Y,1.10E+12,1048126714,"서울특별시 중구 소월로2길 12 (남대문로5가, CJ THE CENTER)",www.cj.net,,02-726-8114,02-726-8112,64992,19530801,12
79160,A,A,A+,B+,,1.31,,303873,403,547,119757000000,121401000000,1698,2036,2101,2583,57000000,47000000,-7.459,-7.98,-6.077,,,-37.704,,1.444,-3.394,14.997,-35.246,115.345,-271.077,-289.982,,8.179,1122.707,45.966,,395.224,727.483,,,1041.038,14.762,-454.333,,1222.707,125.808,85.142,24.45,14.858,0.594,17.451,3.996,,,21.414,,-169.858,-29.311,-42.495,-60.373,-11.308,-6.824,19.764,-8.584,,-33.542,-30.481,,11.391,-16.643,,-3.516,45.495,,8589.334,,,54.832,215.74,50.342,472.495,3633.991,0,1,9,0,정상,"CJ CGV CO.,LTD.",CJ CGV,79160,허민회,Y,1.10E+12,1048145690,서울특별시 용산구 한강대로23길 55 아이파크몰 6층(한강로동),www.cgv.co.kr,,02-371-6660,02-2017-1420,59141,19990330,12
35760,B+,B+,A+,B,,,,265324,7,18,123767000000,128821000000,1186,1852,1193,1870,103744342,68888235,,-9.083,-10.49,34.726,65.274,-9.312,35.066,-0.144,,-0.343,,-13.204,,-358.821,35.066,41.988,138.162,81.811,,81.406,56.757,,,171.563,5.464,,,238.162,109.446,72.036,13.602,27.964,1.166,38.819,4.168,,,-8.845,-13.259,-110.628,,124.401,81.767,-3.701,-0.785,6.849,-3.604,,-3.834,-10.479,,19.346,-20.338,,37.96,43.076,,4098.83,2675.479,,60.707,333.47,74.292,102.519,3950.501,,1,6,0,정상,"CJ ENM CO., Ltd.",CJ ENM,35760,윤상현,K,1.10E+12,1068151510,서울특별시 서초구  과천대로 870-13,www.cjmall.com,,02-2107-0114,02-2107-1014,602,19941216,12
